"player_id","player_name","avg_pts","avg_ast","avg_oreb","avg_dreb","avg_stl","avg_blk","avg_tov","avg_fgm","avg_fga","avg_tpm","avg_play_time","team_name","position"
230,"安德鲁-尼科尔森",2,0,0.2,1.8,0.4,0,0.8,1,3,0,13,"篮网",4
231,"埃文-富尼耶",18,1.8,0,1.2,0.8,0.2,1.4,5.8,12.4,2.6,32,"魔术",2.5
232,"德维恩-戴德蒙",3.75,0.25,1.75,2.17,0.17,0.25,0.67,1.17,1.92,0,8,"马刺",5
233,"沙巴兹-内皮尔",6.75,0.75,0.25,0.75,0.5,0,0,2,4.75,1.25,16,"开拓者",1
234,"阿龙-戈登",18.4,1.4,1.8,4.8,1.2,0.6,1.6,7.2,13.6,1.2,34,"魔术",3.5
235,"埃尔弗里德-佩顿",15.2,8.8,1,3.8,0.4,0.2,2.6,6.6,12.8,0.6,31,"魔术",1
237,"马里奥-海佐尼亚",9.6,1,0.4,3.2,1,0.6,1,3,7,1.4,22,"魔术",2
238,"斯蒂芬-齐默尔曼",1,0.4,1,1.8,0,0.8,0.4,0.4,1.8,0,7,"魔术",4
239,"卡梅罗-安东尼",18.6,2.6,0.6,4.4,0.8,0,2.2,7,17.2,1.6,31,"尼克斯",3.5
240,"德里克-罗斯",21.6,4.8,0.8,2.4,0.2,0,1.4,8.4,15.8,0,35,"尼克斯",1
241,"凯尔-奥奎因",7.2,2,2,3.4,0.4,2,0.8,3,5.8,0.2,18,"尼克斯",5
242,"贾斯汀-霍勒迪",14,2.4,0.6,3.6,1.2,0.4,0.8,5.4,11.2,2,25,"尼克斯",2.5
244,"兰斯顿-加洛韦",9.6,3.4,0.6,3,0.4,0,1.6,3.4,8.2,1.4,24,"国王",1.5
245,"克里斯塔普斯-波尔津吉斯",18.6,2,0.8,5,0.8,1.6,2.6,7,13,0.8,33,"尼克斯",4.5
247,"PJ-塔克",5,1.2,1.5,4.2,0.6,0.2,0.8,1.8,4.9,0.9,25,"猛龙",3
251,"亚历克斯-莱恩",9,0.6,2.8,5.8,0.4,1.6,1.2,3,7,0,21,"太阳",4.5
252,"阿奇-古德温",9.8,2,0.8,2.6,0.6,0.2,1.8,3.6,6.6,0.4,16,"篮网",1.5
253,"TJ-沃伦",18.2,1.2,1.8,5.6,1,0.4,0.4,7.6,13.4,1,35,"太阳",3.5
254,"德文-布克",27.4,5.6,0.4,3.2,1.6,0,4,9,23,1.8,38,"太阳",2
255,"阿兰-威廉姆斯",11.2,0.8,2.8,4.8,1,0.4,0.6,4,7.4,0,20,"太阳",5
256,"马基斯-克里斯",10.4,1.6,1.4,4.4,0.8,1.6,1.8,4,9,0.6,26,"太阳",4
257,"泰勒-尤利斯",22.6,7.2,1.4,2.8,0.8,0.2,3,8.8,17.6,2,38,"太阳",1
262,"纳伦斯-诺埃尔",7,0.6,1.2,4,0.6,0.6,1,3,5.2,0,20,"小牛",5
263,"罗伯特-科温顿",16.2,0.6,1.8,5.8,1.6,1.6,1.8,5.6,13.2,1.6,34,"76人",3
264,"尼克-斯陶斯卡斯",10.4,3.4,0,2.8,0.4,0,1.8,3,9.6,1.6,29,"76人",2
266,"杰拉米-格兰特",9.2,0.8,1.4,2.4,0.2,0.4,0.6,3.8,6.2,0.4,21,"雷霆",3.5
268,"里乔恩-霍姆斯",15,1.6,2.2,5.6,1,1,1.6,6,11.6,1.2,31,"76人",5
269,"TJ-麦康奈尔",9.6,8.2,0.6,3,2.2,0.2,3.4,3.8,9,0.2,32,"76人",1
270,"克里斯蒂安-伍德",4.4,0,1.6,1,0.4,0.4,0.8,1.6,2.4,0,13,"黄蜂",5
273,"蒂莫泰-卢瓦乌-卡巴罗",17.4,2.8,0.6,2.8,2,0,1.4,5.6,12.6,2.2,33,"76人",2.5
276,"马科-贝里内利",11,2,0,1.6,0.6,0.2,1.2,3.6,7,1.4,20,"黄蜂",2.5
277,"科斯塔-库佛斯",8,1.2,1.2,3.6,0.4,1.4,0.8,3.4,7.4,0,30,"国王",5
278,"欧米-卡斯比",3.8,1,0.8,1.4,2,0.2,0.6,1.8,4,0.2,17,"森林狼",3.5
279,"达伦-科里森",12.4,6,0.2,3,1,0,2.8,4.2,8.8,0.4,28,"国王",1
280,"德马库斯-考辛斯",30.2,5.2,2.4,11,1,2,3.6,9.8,20.6,3.2,38,"鹈鹕",5
281,"塞思-库里",14.8,2.6,0,2,0.8,0,1,5.4,10.8,2.2,24,"小牛",1.5
282,"本-麦克勒摩",15.4,0.8,0.2,4.8,0.8,0,1,5.2,10.8,2.2,24,"国王",2
284,"威利-考利-斯坦",14.8,1.8,2.6,7.6,1,1,0.8,6.6,13,0,29,"国王",4.5
